id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0084,llama3-70b,zero_shot,0.8,1.0,0.1565,0.1745
HFT-0085,llama3-70b,zero_shot,0.4,0.9762,0.1287,0.1689
HFT-0086,llama3-70b,zero_shot,0.2,0.7778,0.1283,0.1705
HFT-0087,llama3-70b,zero_shot,0.0,0.0,0.1047,0.14
HFT-0088,llama3-70b,zero_shot,0.0,0.0,0.1144,0.14
HFT-0089,llama3-70b,zero_shot,0.0,0.0,0.114,0.14
HFT-0090,llama3-70b,zero_shot,0.0,0.0,0.128,0.14
HFT-0091,llama3-70b,zero_shot,0.0,0.0,0.1048,0.14
HFT-0092,llama3-70b,zero_shot,0.0,0.0,0.1312,0.14
HFT-0093,llama3-70b,zero_shot,0.0,0.0,0.1292,0.14
HFT-0094,llama3-70b,zero_shot,0.0,0.0,0.0922,0.14
HFT-0095,llama3-70b,zero_shot,0.2,0.7778,0.1297,0.1524
HFT-0096,llama3-70b,zero_shot,0.6,1.0,0.1499,0.1675
HFT-0097,llama3-70b,zero_shot,0.8,1.0,0.1618,0.2113
HFT-0098,llama3-70b,zero_shot,0.0,0.0,0.1272,0.14
HFT-0099,llama3-70b,zero_shot,0.0,0.0,0.0648,0.084
HFT-0100,llama3-70b,zero_shot,0.0,0.0,0.12,0.14
HFT-0101,llama3-70b,zero_shot,0.1,0.5,0.1374,0.1581
HFT-0102,llama3-70b,zero_shot,0.7,1.0,0.1588,0.2031
HFT-0103,llama3-70b,zero_shot,0.0,0.0,0.118,0.14
HFT-0104,llama3-70b,zero_shot,0.0,0.0,0.1149,0.1367
HFT-0105,llama3-70b,zero_shot,0.0,0.0,0.1116,0.14
HFT-0106,llama3-70b,zero_shot,0.0,0.0,0.1288,0.14
HFT-0107,llama3-70b,zero_shot,0.0,0.0,0.1184,0.14
HFT-0108,llama3-70b,zero_shot,0.0,0.0,0.0884,0.14
HFT-0109,llama3-70b,zero_shot,0.0,0.0,0.112,0.14
HFT-0110,llama3-70b,zero_shot,0.7,1.0,0.156,0.1827
HFT-0111,llama3-70b,zero_shot,0.1,0.5,0.1077,0.154
HFT-0112,llama3-70b,zero_shot,0.0,0.0,0.1112,0.14
HFT-0113,llama3-70b,zero_shot,0.0,0.0,0.1012,0.14
HFT-0114,llama3-70b,zero_shot,0.4,0.9762,0.1445,0.1713
HFT-0115,llama3-70b,zero_shot,0.0,0.0,0.108,0.108
HFT-0116,llama3-70b,zero_shot,0.0,0.0,0.0,0.0
HFT-0117,llama3-70b,zero_shot,0.3,0.9167,0.1378,0.1543
HFT-0118,llama3-70b,zero_shot,0.4,0.9762,0.1357,0.176
HFT-0119,llama3-70b,zero_shot,0.0,0.0,0.1277,0.1486
HFT-0120,llama3-70b,zero_shot,0.0,0.0,0.0766,0.1312
HFT-0121,llama3-70b,zero_shot,0.0,0.0,0.1008,0.14
HFT-0122,llama3-70b,zero_shot,0.0,0.0,0.018,0.084
HFT-0123,llama3-70b,zero_shot,0.0,0.0,0.117,0.14
HFT-0124,llama3-70b,zero_shot,0.0,0.0,0.1268,0.14
HFT-0125,llama3-70b,zero_shot,0.0,0.0,0.1148,0.14
HFT-0126,llama3-70b,zero_shot,0.0,0.0,0.1084,0.14
HFT-0127,llama3-70b,zero_shot,0.0,0.0,0.0538,0.1348
HFT-0128,llama3-70b,zero_shot,0.4,0.9762,0.1412,0.1571
HFT-0129,llama3-70b,zero_shot,0.9,1.0,0.1788,0.2142
HFT-0130,llama3-70b,zero_shot,0.0,0.0,0.0968,0.148
HFT-0131,llama3-70b,zero_shot,0.0,0.0,0.1142,0.1422
HFT-0132,llama3-70b,zero_shot,0.7,1.0,0.148,0.1769
HFT-0133,llama3-70b,zero_shot,0.0,0.0,0.06,0.06
HFT-0134,llama3-70b,zero_shot,0.0,0.0,0.1206,0.1462
HFT-0135,llama3-70b,zero_shot,0.0,0.0,0.1232,0.14
HFT-0136,llama3-70b,zero_shot,0.4,0.9762,0.1291,0.1685
HFT-0137,llama3-70b,zero_shot,0.9,1.0,0.1571,0.1754
HFT-0138,llama3-70b,zero_shot,0.0,0.0,0.1312,0.1477
HFT-0139,llama3-70b,zero_shot,0.1,0.5,0.1276,0.1563
HFT-0140,llama3-70b,zero_shot,0.0,0.0,0.1208,0.14
HFT-0141,llama3-70b,zero_shot,0.0,0.0,0.1268,0.14
HFT-0142,llama3-70b,zero_shot,0.0,0.0,0.1124,0.136
HFT-0143,llama3-70b,zero_shot,0.0,0.0,0.1216,0.14
HFT-0144,llama3-70b,zero_shot,0.5,0.996,0.1378,0.159
HFT-0145,llama3-70b,zero_shot,0.4,0.9762,0.1314,0.1707
HFT-0146,llama3-70b,zero_shot,0.7,1.0,0.1533,0.1728
HFT-0147,llama3-70b,zero_shot,0.3,0.9167,0.1357,0.1805
HFT-0148,llama3-70b,zero_shot,0.0,0.0,0.1329,0.141
HFT-0149,llama3-70b,zero_shot,0.0,0.0,0.132,0.132
